Tiếng Việt,Tiếng BaNa
"Không khống chế số tầng, phù hợp với quy hoạch xây dựng do cơ quan có thẩm quyền phê duyệt.","Biê khoâÊng cheâÊ ksoâÊ taâng, trô troê adriêng tôdrong tôjung pôm yua kô kuan ôêi thaâm kueân pheâ jueâÊt"
Sử dụng thiết kế mẫu nhà ở sinh viên do Bộ Xây dựng cung cấp.,Chaê yuoâ thieâÊt keâÊ môêu hnam oei sinh vieân yua ‘Boâ Xaây ‘yöng tôguêm
Giá cho thuê nhà ở sinh viên:,Giaê aên thueâ hnam oei sinh vieân:
"Xác định giá cho thuê nhà ở sinh viên căn cứ theo Thông tư số 15/2009/TT-BXD ngày 30/6/2009, Thông tư số 17/2009/TT-BXD ngày 30/6/2009 của Bộ Xây dựng.","Pôtho khan giaê aên thueâ hnam oei sinh vieân kaên köê ‘boi Thoâng tö ksoâÊ minh jiêt pôñaêm sônaêm ‘baêl ôbôêu khoâng hrieâng le tôxinh/TT-BXD ‘naêr peâng jiêt kheêi drôêu sônaêm ‘baêl ôbôêu khoâng hrieâng le tôxiênh, Thoâng tö ksoâÊ minh jiêt tôpôêh sônaêm ‘baêl ôbôêu khoâng hrieâng le tôxiênh/TT-BXD ‘naêr peâng jiêt kheêi drôêu sônaêm ‘baêl ôbôêu khoâng hrieâng le tôxiênh ñôêng ‘Boâ Xaây ‘yöng"
Giá cho thuê nhà ở sinh viên tại các dự án được đầu tư bằng ngân sách nhà nước do Ủy ban nhân dân tỉnh quy định,Giaê aên thueâ hnam oei sinh vieân lôêm rim ‘yöê an ñeêi tôguêm ñôêng ngaân sach kôpal yua UBND tinh quy ñinh
"Theo nguyên tắc chỉ tính đủ các chi phí quản lý, vận hành và bảo trì (không tính chi phí khấu hao).","‘Boi tôdrong anao tiênh duh rim jeân ngoê hnhei, pôm oeêng ‘bao tri (biê tiênh jeân khôêu hao)"
Giá cho thuê nhà ở sinh viên tại các dự án đầu tư bằng các nguồn vốn ngoài ngân sách nhà nước do Ủy ban nhân dân tỉnh phê duyệt,Giaê aên thueâ hnam oei sinh vieân lôêm rim ‘yöê an tôguêm ñôêng rim nguoân jeân ôgah ngaân sach kôpal yua UBND tinh pheâ jueâÊt
"Căn cứ đề nghị của Chủ đầu tư, theo nguyên tắc không được tính các ưu đãi của Nhà nước vào giá thuê và đảm bảo lợi nhuận định mức tối đa 10%, với thời hạn thu hồi vốn tối thiểu là 20 năm.","Kaên köê pôtho khan ñôêng Chu tôguêm, ‘boi tôdrong biê ñeêi tiênh rim öu ñai ñôêng kôpal tômöt giaê thueâ oeêng tômaên tôl lôi nhuaân ñinh möêk pôgloh minh jiêt phaân traêm, adriêng jônang thu hoâi jeân pôgloh la ‘baêl sônaêm"
"Các học sinh, sinh viên có hoàn cảnh khó khăn được Nhà nước hỗ trợ cho vay vốn để thanh toán tiền thuê nhà","Rim hoêk sinh, sinh vieân ôêi tôdrong hrat tônap ñeêi kôpal tôguêm aên vei jeân söê pôdrieâu jeân thueâ hnam"
"Theo quy định tại Quyết định số 157/2007/QĐ-TTg ngày 27 tháng 9 năm 2007 của Thủ tướng Chính phủ về tín dụng đối với học sinh, sinh viên.","‘Boi tôdrong lôêm KueâÊt ñinh ksoâÊ minh pôñaêm tôpôêh sônaêm ‘baêl ôbôêu khoâng hrieâng le tôpôêh/QÑ-TTg ‘naêr ‘baêl jiêt tôpôêh kheêi tôxiênh sônaêm ‘baêl ôbôêu khoâng hrieâng le tôpôêh ñôêng Thu töông kôpal teh ñak lôêm tiên juêng adriêng hoêk sinh, sinh vieân"
Cơ chế ưu đãi đối với chủ đầu tư dự án nhà ở sinh viên:,Tôdrong öu ñai adriêng chu tôguêm ‘yöê an hnam oei sinh vieân:
Nhà đầu tư có nhu cầu tham gia đầu tư xây dựng dự án nhà ở sinh viên thực hiện đăng ký với Ủy ban nhân dân tỉnh để được hưởng các cơ chế ưu đãi đầu tư sau đây:,Hnam tôguêm ôêi tôdrong waê adriêng pôm tôguêm tôjung pôm ‘yöê an hnam oei sinh vieân pôm ñaêng kyê adriêng UBND tinh söê ñei ‘yoêk rim tôdrong öu ñai tôguêm ñôêng roêng ôêu:
"Được miễn tiền sử dụng đất, tiền thuê đất trong phạm vi dự án;","Ñeêi mieân jeân chaê yuoâ teh, jeân thueâ teh lôm pham vi ‘yöê an"
Được hỗ trợ tín dụng đầu tư từ các nguồn:,Ñeêi tôguêm tiên juêng tôguêm ñôêng rim nguoân:
Vay vốn tín dụng ưu đãi hoặc bù lãi suất theo quy định;,Veêi jeân tiên juêng öu ñai thoi ‘bu lai suaât ‘boi quyñinh
Vay từ Quỹ phát triển nhà ở của tỉnh và các nguồn vốn vay ưu đãi khác (nếu có);,Veêi ñôêng quy pôjing hnam oei ñôêng tinh oeêng rim nguoân jeân vei öu ñai nai (tôêng ôêi)
"Được Ủy ban nhân dân tỉnh xem xét, hỗ trợ một phần hoặc toàn bộ lãi vay (tùy theo khả năng ngân sách của tỉnh);","Ñeêi UBND tinh ngoê hnheêi, tôguêm minh phaân thoi ñiê lai veêi (tuy theo jeân ñôêng tinh)"
"Được cung cấp miễn phí các thiết kế mẫu, thiết kế điển hình về nhà ở cũng như các tiến bộ khoa học kỹ thuật về thi công, xây lắp nhằm giảm giá thành xây dựng công trình;","Ñeêi tôguêm biê ‘yoêk jeân rim thieâÊt keâÊ môêu, thieâÊ keâÊ ñieân hinh lôêm hnam oei kung in rim tôdrong khoa hoêk ky thuaât lôêm tôdrong pôm söê pôm tôjul jeân tôjung pôm koâng trinh"
"Được áp dụng hình thức tự thực hiện nếu có đủ năng lực theo quy định của pháp luật hoặc chỉ định thầu đối với các hợp đồng tư vấn, thi công xây lắp và mua sắm thiết bị;","Ñeêi tôjung pôm tôdrong kôdih pôm tôêng ôêi duh naêng löêk ‘boi tôdrong ñôêng phap luaât thoi chi ñinh thôêu adriêng rim hôêp ñoâng tö vaâÊn, pôm oeêng ruoât thieâÊt ‘biê"
"Được Nhà nước hỗ trợ đầu tư hạ tầng kỹ thuật ngoài hàng rào dự án (giao thông, cấp điện, cấp thoát nước);","Ñeêi kôpal tôguêm ñaâu tö ha taâng ky thuaât ôgah pôgal ‘yöê an (trong naêm, kôêp ñieân, kôêp thoat ñak)"
Và các chính sách ưu đãi của Chính phủ theo quy định tại: Nghị quyết số 18/NQ-CP ngày 20 tháng 4 năm 2009;,Oeêng rim tôdrong öu ñai ñôêng kôpal teh ñak ‘boi tôdrong lôêm Nghiê kueâÊt ksoâÊ minh jiêt tôhngam/NQ-CP ‘naêr ‘baêl jiêt kheêi puoân sônaêm ‘baêl ôbôêu khoâng hrieâng le tôxiênh
"Quyết định số 65/2009/QĐ-TTg ngày 24 tháng 4 năm 2009, Quyết định số 96/2009/QĐ-TTg ngày 22 tháng 7 năm 2009 của Thủ tướng Chính phủ.","KueâÊt ñinh ksoâÊ drôêu jiêt pôñaêm sônaêm ‘baêl ôbôêu khoâng hrieâng le tôxiênh/QÑ-TTg ‘naêr ‘baêl jiêt puoân kheêi puoân sônaêm ‘baêl ôbôêu khoâng hrieâng le tôxiênh, KueâÊt ñinh ksoâÊ tôxiênh jiêt drôêu sônaêm ‘baêl ôbôêu khoâng hrieâng le tôxiênh/QÑ-TTG ‘naêr ‘baêl jiêt ‘baêl kheêi tôpôêh sônaêm ‘baêl ôbôêu khoâng hrieâng le tôxiênh ñôêng Thu töông kôpal teh ñak"
"Đối tượng, điều kiện được thuê nhà ở sinh viên (theo Thông tư số 13/2009/TT-BXD ngày 30/6/2009 của Bộ Xây dựng):","ÑoâÊi töông, tôdrong ñei thueâ hnam oei sinh vieân (‘boi Thoâng tö ksoâÊ minh jiêt peâng sônaêm ‘baêl ôbôêu khoâng hrieâng le tôxiênh/TT-BXD ‘naêr peâng jiêt kheêi drôêu sônaêm ‘baêl ôbôêu khoâng hrieâng le tôxiênh ñôêng ‘Boâ Xaây ‘yöng)"
Đơn vị quản lý vận hành quỹ nhà ở sinh viên chịu trách nhiệm cho thuê đúng đối tượng.,Ñôn viê ngoê hnhei pôm quy hnam oei sinh vieân ôêi tôdrong aên thueâ trô troê ñoâÊi töông
Đối với dự án nhà ở sinh viên tập trung ưu tiên các sinh viên học tại các trường trong khu vực.,Adriêng ‘yöê an hnam oei sinh vieân pônhoân öu tieân rim sinh vieân hoêk lôêm rim tröông lôêm apung
"Trường hợp không đủ chỗ bố trí cho nhu cầu thì sắp xếp thứ tự ưu tiên như sau: sinh viên ngoại tỉnh, sinh viên nghèo, sinh viên học giỏi, sinh viên năm đầu tiên.","Tôdrong biê duh dônoê ‘boâÊ triê aên tôdrong waê thoi saêp xeâÊp thöê tö öu tieân in ñôêng roêng ôêu: sinh vieân ngoai tinh, sinh vieân dônuh, sinh vieân hoêk hôgeêi, sinh vieân sônaêm pôtôm"
"Sinh viên có nhu cầu thuê nhà ở phải làm đơn, có xác nhận của cơ sở đào tạo và ký hợp đồng thuê nhà ở với đơn vị quản lý vận hành quỹ nhà ở sinh viên.","Sinh vieân ôêi tôdrong waê thueâ hnam phai chih ñôn, ôêi xac nhaân ñôêng dônoê pôtôêp oeêng kyê hôêp ñoâng thueâ hnam adriêng dônoê ngoê hnheêi pôm quy hnam oei sinh vieân"
"Sinh viên thuê nhà ở phải trả tiền thuê nhà đầy đủ, tuân thủ nội quy sử dụng nhà ở sinh viên","Sinh vieân thueâ hnam phai pôdrieâu jeân thueâ hnam duh, pôm trô troê tôdrong chaê yuoâ hnam oei sinh vieân"
"Không được cho thuê lại hoặc chuyển nhượng hợp đồng, nếu vi phạm sẽ bị hủy hợp đồng, thông báo với nhà trường nơi sinh viên đang học để có biện pháp xử lý theo quy định của pháp luật.","Biê ñeêi aên thueâ pieâu thoi chueân nhöông hôêp ñoâng, tôêng pôm glaêi thoi ‘bi tuêk hôêp ñoâng, pôtho khan adriêng hnam tröông dônoê sinh vieân atung hoêk söê ôêi tôdrong xö lyê ‘boi tôdrong ñôêng phap luaât"
"Trình tự, thủ tục xác định đối tượng và thực hiện việc thuê nhà ở sinh viên:","Trinh tö, tôdrong xac ñinh ñoâÊi töông oeêng pôm tôdrong thueâ hnam oei sinh vieân:"
"Đơn vị quản lý vận hành nhà ở sinh viên có trách nhiệm thông báo cho các cơ sở đào tạo và trên phương tiện thông tin đại chúng về địa điểm, số lượng chỗ ở, địa chỉ nhận đơn và thời hạn nhận đơn.","Ñôn vi ngoê hnheêi pôm hnam oei sinh vieân ôêi tôdrong pôtho khan aên rim dônoê pôtôêp oeêng lôêm phöông tieân thoâng tin ñai chuêng lôêm dônoê, ksoâÊ löông dônoê oei, dônoê ‘yoêk ñôn oeêng jônang ‘yoêk ñôn"
Cơ sở đào tạo thông báo cho sinh viên biết tại các kì thi tuyển sinh (niêm yết tại cơ sở đào tạo hoặc thông qua hoạt động của sinh viên tình nguyện),Dônoê pôtôêp pôtho khan aên sinh vieân aleâÊ lôêm rim maêng thi tueân sinh (nieâm yeâÊt lôêm dônoê pôtôêp thoi thoâng kua tôdrong pôm ñôêng sinh vieân tinh ngueân)
"Và trong giấy báo nhập học về các thông tin liên quan đến việc thuê nhà ở sinh viên (các nội dung như địa điểm nhà ở, điện thoại và trang web).","Oeêng lôêm hla pôtho khan nhôêp hoêk lôêm rim thoâng tin lieân kuan truh tôdrong thueâ hnam oei sinh vieân (rim tôdrong in dônoê hnam oei, ñieân thoai oeêng trang web)"
Sinh viên có nhu cầu thuê nhà ở gửi đơn đề nghị có xác nhận hoặc kèm theo giấy tờ chứng minh thuộc diện ưu tiên (nếu có) đến đơn vị quản lý vận hành nhà ở để được xem xét cho thuê.,Sinh vieân ôêi tôdrong waê thueâ hnam oei göi hla pôtho khan ôêi xac nhaân thoi pôteêp adriêng hla chöêng minh oei lôêm kôbraê öu tieân (tôêng ôêi) truh ñôn viê ngoê hnheêi pôm hnam oei söê ñeêi ngoê hnheêi aên thueâ
"Đơn vị quản lý vận hành nhà ở sinh viên sắp xếp danh sách sinh viên theo thứ tự ưu tiên để thực hiện ký kết hợp đồng cho thuê nhà ở đảm bảo đúng đối tượng và điều kiện theo quy định,",Ñôn viê ngoê hnheêi pôm hnam oei sinh vieân saêp xeâp danh sach sinh vieân ‘boi tôdrong öu tieân söê pôm kyê keâÊt hôêp ñoâng aên thueâ hnam oei tômaên tôl trô troê ñoâÊi töông oeêng tôdrong ‘boi quy ñinh
Trường hợp không bố trí đủ theo nhu cầu thì có thể hướng dẫn sinh viên liên hệ với đơn vị khác để thuê nhà ở.,Tôdrong biê ‘boâÊ triê duh ‘boi tôdrong waê thoi ôêi tôdrong pôtho khan sinh vieân lieân heâ adriêng ñôn viê nai söê thueâ hnam oei
"Sau khi thực hiện việc ký hợp đồng thuê nhà ở sinh viên, chủ đầu tư dự án có trách nhiệm lập đầy đủ danh sách các đối tượng đã được giải quyết gửi về Sở Xây dựng Bình Định để thực hiện kiểm tra (hậu kiểm).","Ñôêng roêng pôm tôdrong kyê hôêp ñoâng thueâ hnam oei sinh vieân, chu tôguêm ‘yöê an ôêi tôdrong pôm duh danh sach rim ñoâÊi töông jôh ñeêi tôguêm göi aên Sô Xaây ‘yöng ‘Binh Ñinh söê pôm tôdrong naêm ngoê hnheêi (hôêu kieâm)"
Trường hợp chủ đầu tư thực hiện việc cho thuê nhà ở sinh viên không đúng quy định,Tôdrong chu tôguêm pôm tôdrong aên thueâ hnam oei sinh vieân biê trô troê tôdrong
Ủy ban nhân dân tỉnh sẽ buộc chủ đầu tư dự án đó phải hoàn trả các khoản chi phí đã được ưu đãi,UBND tinh pôtho khan chu tôguêm ‘yöê an ‘noh phai pôdrieâu rim khoan jeân jôh ñei öu ñai
Không cho phép thực hiện các dự án kinh doanh bất động sản khác trong thời gian 02 năm kể từ ngày dự án bị thu hồi hoặc thu hồi đăng ký kinh doanh.,Biê aên pheêp pôm rim ‘yöê an tech bôdro ‘baât ñoâng san nai lôêm jônang ‘baêl sônaêm khan ñôêng ‘naêr ‘yöê an ‘bi thu ‘yoêk thoi thu ‘yoêk ñaêng kyê teêch bôdro
Trường hợp vi phạm nghiêm trọng sẽ bị xử lý trách nhiệm theo quy định của pháp luật.,Tôdrong pôm glaêi pôgloh thoi ‘bi xö lyê trach nhieâm ‘boi tôdrong ñôêng phap luaât
Thực hiện theo quy định của pháp luật về đầu tư xây dựng và các nội dung liên quan của bản kế hoạch này.,Pôm ‘boi tôdrong ñôêng phap luaât lôêm tôguêm tôjung pôm oeêng rim tôdrong lieân kuan ñôêng ‘ban glong pônhroh anu
Quản lý chất lượng công trình xây dựng đối với các dự án đầu tư xây dựng nhà ở sinh viên:,Ngoê hnheêi tôdrong thu ‘yoêk ñeêi koâng trinh tôjung pôm adriêng rim ‘yöê an tôguêm tôjung pôm hnam oei sinh vieân
"Trong quá trình thi công xây dựng, các chủ thể thực hiện việc quản lý chất lượng xây dựng, khối lượng, tiến độ, an toàn, vệ sinh môi trường","Lôêm jônang tôjung pôm, rim chu theâ pôm tôdrong ngoê hnheêi tôdrong thu ‘yoêk ñeêi tôjung pôm, khoâÊi löông, tieâÊn ñoâ, an toan, veâ sinh moâi tröông"
"Theo quy định của Luật Xây dựng, Nghị định số 12/2009/NĐ-CP, Nghị định số 209/2004/NĐ-CP, Nghị định số 49/2008/NĐ-CP và các văn bản hướng dẫn có liên quan.","‘Boi tôdrong ñôêng Luaât Xaây ‘yöng, Nghiê ñinh ksoâÊ minh jiêt ‘baêl sônaêm ‘baêl ôbôêu khoâng hrieâng le tôxiênh/NÑ-CP, Nghiê ñinh ksoâÊ ‘baêl khoâng tôxiênh sônaêm ‘baêl ôbôêu khoâng hrieâng le puoân/NÑ-CP, Nghiê ñinh ksoâÊ puoân jiêt tôxiênh sônaêm ‘baêl ôbôêu khoâng hrieâng le tôhngam/NÑ-CP oeêng rim vaên ‘ban pôtho khan ôêi lieân kuan"
Các dự án đầu tư xây dựng nhà ở phải được tổ chức tư vấn độc lập với chủ đầu tư và nhà thầu thi công xây dựng có đủ điều kiện năng lực,Rim ‘yöê an tôguêm tôjung pôm hnam oei phai ñeêi pôloêk pôtho khan ñoâk laâp adriêng chu tôguêm oeêng hnam thôêu tôjung pôm ôêi duh tôdrong naêng löêk
"Theo quy định thực hiện kiểm định, chứng nhận sự phù hợp về chất lượng theo quy định hiện hành trước khi đưa công trình vào sử dụng.","‘Boi tôdrong pôm kieâm ñinh, chöêng nhaân tôdrong trô troê lôêm tôdrong thu ‘yoêk ñei ‘boi tôdrong hieân hanh adrol jônang aên koâng trinh tômöt chaê yuoâ"
"Tổ chức quản lý khai thác, vận hành quỹ nhà ở sinh viên:","Pôloêk ngoê hnheêi khai thac, vaân hanh quy hnam oei sinh vieân:"
"Quỹ nhà ở sinh viên phải được duy trì và quản lý chặt chẽ trong quá trình vận hành, không được tự ý chuyển đổi mục đích sử dụng.","Quy hnam oei sinh vieân phai ñeêi pôgeêi pieâu oeêng ngoê hnhei kôjaêp lôêm jônang vaân hanh, biê ñeêi kôdih tôplih tôdrong chaê yuoâ"
Việc bảo trì công trình phải tuân theo quy định của pháp luật về xây dựng.,Tôdrong ‘baêo tri koâng trinh phai pôm ‘boi tôdrong ñôêng phap luaât lôêm xaây ‘yöng
"Quy chế quản lý việc sử dụng, vận hành khai thác quỹ nhà ở sinh viên thực hiện theo hướng dẫn của Bộ Xây dựng.","Tôdrong ngoê hnheêi tôdrong chaê yuoâ, vaân hanh khai thac quy hnam oei sinh vieân pôm ‘boi pôtho khan ñôêng ‘Boâ Xaây ‘yöng"
"Chủ đầu tư các dự án nhà ở sinh viên chịu trách nhiệm tổ chức quản lý vận hành, bảo trì quỹ nhà ở sinh viên sau đầu tư","Chu tôguêm rim ‘yöê an hnam oei sinh vieân ôêi tôdrong pôloêk ngoê hnheêi vaân hanh, ‘bao tri quy hnam oei sinh vieân ñôêng roêng tôguêm"
"Đồng thời được phép thuê, ủy thác hoặc thành lập tổ chức dịch vụ nhà ở để quản lý vận hành quỹ nhà ở sinh viên.","Thoi ‘noh ñei pheêp thueâ, uy thac oeêng pôjing anao toâ chöêk jiêt vuê hnam oei söê ngoê hnheêi vaân hanh quy hnam oei sinh vieân"
Đơn vị quản lý vận hành quỹ nhà ở sinh viên được phép kinh doanh các dịch vụ khác trong khu ở để tạo nguồn bù đắp cho chi phí quản lý vận hành và bảo trì nhằm giảm giá thuê nhà ở.,Ñôn viê ngoê hnheêi vaân hanh quy hnam oei sinh vieân ñei pheêp teêch bôdro rim jiêt vuê nai lôêm apung oei söê pôm nguoân tôguêm aên jeân ngoê hnheêi vaân hanh oeêng ‘bao tri söê tôjul giaê thueâ hnam oei
"Đơn vị quản lý vận hành quỹ nhà ở sinh viên phải xây dựng nội quy sử dụng nhà ở sinh viên, công bố công khai để sinh viên thuê nhà và các đơn vị, cá nhân có liên quan biết, thực hiện.","Ñôn viê ngoê hnheêi vaân hanh quy hnam oei sinh vieân phai pôm noâi quy chaê yuoâ hnam oei sinh vieân, pôtho khan koâng khai söê sinh vieân thueâ hnam oeêng rim ñôn viê, kôdih ôkôêu ôêi lieân kuan aleâÊ, pôm"
Sở Xây dựng:,Sô Xaây ‘yöng
"Chủ trì, phối hợp với các ngành liên quan quy hoạch xây dựng 01 khu ký túc xá tập trung phục vụ chỗ ở cho học sinh các trường đại học, cao đẳng, trung học chuyên nghiệp trong nội thành","Pôgôl, adriêng rim nganh lieân kuan quy hoach tôjung pôm minh khu kyê tuêk xa pônhoâm tôguêm dônoê oei aên hoêk sinh rim tröông ñai hoêk, cao ñaêng, trung kôêp chueân nghieâp lôêm noâi thanh"
Tại khu đất phía sau Trường Đại học Quy Nhơn (khu đất của Quân khu Vgiao lại cho tỉnh).,Lôêm apung teh ñôêng roêng Tröông Ñai hoêk Quy Nhôn (apung teh ñôêng Quaân khu pôñaêm pôjao pieâu aên tinh)
"Lưu ý, việc quy hoach khu đất này phải đảm bảo bố trí đủ nhu cầu nhà ở cho sinh viên, một phần đất dành cho các công trình phúc lợi công cộng, phần còn lại để chuyển nhượng, tạo nguồn thu cho ngân sách.","Ngoê hnhei, tôdrong quy hoach apung teh maê anu phai tômaên tôl boâÊ triê duh tôdrong waê hnam oei aên sinh vieân, minh phaân teh söê aên rim koâng trinh phuêk lôi koâng koâng, tôdrong araê söê chueân nhöông, pôm nguoân thu aên ngaân sach"
"Chủ trì, phối hợp với các ngành liên quan quy hoạch xây dựng 01 khu ký túc xá cho sinh viên các Trường Cao đẳng Bình Định, Trường Đại học Quang Trung và các trường khác","Pôgôl, adriêng rim nganh lieân kuan quy hoach pôm minh khu kyê tuêk xa aên sinh vieân rim Tröông Cao ñaêng ‘Binh Ñinh, Tröông Ñai hoêk Kuang Trung oeêng rim tröông nai"
Theo quy hoạch cụm trường của khu vực tại khu đất ngoại thành thuộc phường Nhơn Phú gần Trường Cao đẳng Bình Định và Trường Đại học Quang Trung.,‘Boi quy hoach kuêm tröông ñôêng khu vöêk lôêm apung teh ngoai thanh oei lôêm kôbraê phöông Nhôn Phuê jeâÊ Tröông Cao ñaêng ‘Binh Ñinh oeêng Tröông Ñai hoêk Kuang Trung
"Lưu ý, việc bố trí quy hoạch khu đất này phải tính toán kỹ, không cản trở dòng chảy thoát lũ, không gây ngập úng cho toàn bộ khu vực này trong mùa mưa lũ.","Ngoê hnheêi, tôdrong ‘boâÊ triê quy hoach apung teh anu phai tiênh toan pôgloh, biê pôm gôên trong ñak ‘yol, biê pôm lôngôêp aên apung maê anu lôêm jan ami but"
"Là cơ quan thường trực giúp Ủy ban nhân dân tỉnh theo dõi, tổng hợp tình hình và đề xuất giải quyết những khó khăn vướng mắc","La kô kuan thöông tröêk tôguêm UBND tinh ngoê hnhei, toâng hôêp tôdrong oeêng pôtho khan tôguêm rim hrat tônap amaêk"
Trong quá trình triển khai thực hiện kế hoạch phát triển nhà ở sinh viên trên địa bàn tỉnh.,Lôêm jônang pônhroh pôm glong pônhroh pôjing hnam oei sinh vieân lôêm tôring tinh
"Theo dõi, đôn đốc và tổng hợp tình hình triển khai thực hiện kế hoạch này; đề xuất sửa đổi, bổ sung cho phù hợp tình hình thực tế trình UBND tỉnh xem xét, quyết định.","Ngoê hnhei, pôtho khan oeêng toâng hôêp tôdrong pônhroh pôm glong pônhroh anu, pôtho khan tôplih tôguêm aên trô troê tôdrong tô paê trinh UBND tinh ngoê hnheêi, kueâÊt ñinh"
"Hướng dẫn các chủ đầu tư dự án nhà ở sinh viên sử dụng thiết kế mẫu, thiết kế điển hình; ","Pôtho khan rim chu tôguêm ‘yöê an hnam oei sinh vieân chaê yuoâ thieÊât keâÊ môêu, thieâÊt keâÊ ñieân hinh"
"Quy chế quản lý việc sử dụng, vận hành khai thác quỹ nhà ở sinh viên; mẫu hợp đồng cho thuê nhà ở áp dụng đối với các dự án nhà ở sinh viên do Bộ Xây dựng ban hành.","Tôdrong ngoê hnheêi tôdrong chaê yuoâ, vaân hanh khai thac quy hnam oei sinh vieân; môêu hôêp ñoâng aên thueâ hnam oei tôjung pôm adriêng rim ‘yöê an hnam oei sinh vieân yua ‘Boâ Xaây ‘yöng aên leêch"
"Tổ chức, chỉ đạo thực hiện các dự án đầu tư xây dựng nhà ở sinh viên trên địa bàn tỉnh theo đúng kế hoạch, bảo đảm chất lượng;","Pôloêk, pôgôl pôm rim ‘yöê an tôguêm pôm hnam oei sinh vieân lôêm tôring tinh ‘boi trô troê glong pônhroh, tômaên tôl tôdrong thu ‘yoêk ñei"
"Kiểm tra và xử lý các trường hợp vi phạm liên quan đến đầu tư xây dựng, chất lượng công trình, quản lý việc sử dụng, vận hành quỹ nhà ở sinh viên theo thẩm quyền.","Ngoê hnheêi oeng xö lyê rim tôdrong pôm glaêi lieân kuan truh tôguêm tôjung pôm, tôdrong thu ‘yoêk ñei koâng trinh, ngoê hnhei tôdrong chaê yuoâ, vaân hanh quy hnam oei sinh vieân ‘boi thaâm kueân"
Sở Kế hoạch và Đầu tư:,Sô Keâ hoach oeêng Ñaâu tö:
Bổ sung các dự án nhà ở sinh viên vào danh mục các dự án được vay vốn tín dụng ưu đãi hoặc hỗ trợ sau đầu tư.,Tôguêm rim ‘yöê an hnam oei sinh vieân tômöt danh muêk rim ‘yöê an ñei vei jeân tiên jung öu ñai thoi tôguêm ñôêng roêng tôguêm
"Chủ trì, phối hợp với Sở Xây dựng và các huyện, thành phố Quy NhơnSở Tài nguyên và Môi trường:","Pôgôl, adriêng Sô Xaây ‘yöng oeêng rim hueân, thanh phoâÊ Quy Nhôn, Sô Tai nguyeân oeêng Moâi tröông:"
"Tổ chức rà soát quy hoạch, kế hoạch sử dụng đất để bổ sung quỹ đất cho các dự án nhà ở sinh viên trên địa bàn tỉnh.","Pôloêk ra soat quy hoach, glong pônhroh chaê yuoâ teh söê tôguêm quy teh aên rim ‘yöê an hnam oei sinh vieân lôêm tôring tinh"
"Chủ trì, phối hợp với Sở Xây dựng tổ chức thẩm định giá thuê và kiểm tra chặt chẽ việc cho thuê nhà ở sinh viên trên phạm vi địa bàn tỉnh.","Pôgôl, adriêng Sô Xaây ‘yöng pôloêk thaâm ñinh giaê thueâ oeêng ngoê hnheêi kôjaêp tôdrong aên thueâ hnam oei sinh vieân lôêm tôring tinh"
"Các Sở: Giáo dục và Đào tạo, Lao động - Thương binh và Xã hội:","Rim Sô: Yaêo ‘yuêk oeêng Ñao tao, Lao ñoâng – Thöông ‘binh oeêng Xa hoâi:"
"Chủ trì phối hợp với đơn vị có liên quan tiến hành rà soát, phân loại các đối tượng là học sinh, sinh viên","Pôgôl adriêng ñôn viê lieân kuan naêm ngoê hnheêi, phaân loai rim ñoâÊi töông la hoêk sinh, sinh vieân"
"Tại các trường Trung học chuyên nghiệp, cao đẳng nghề, trung cấp nghề có nhu cầu về nhà ở, chủ động đề xuất thêm các địa điểm mới và tìm kiếm thêm các nguồn vốn khác","Lôêm rim tröông Trung hoêk chueân nghieâp, cao ñaêng ngheâ, trung kôêp ngheâ ôêi tôdrong waê lôêm hnam oei, chu ñoâng pôtho khan pieâu rim dônoê anao oeêng chaê pieâu rim nguoân jeân nai"
"Để đầu tư xây dựng nhà ở cho học sinh sinh viên tại các trường, cơ sở đào tạo do đơn vị quản lý.","Söê tôguêm pôm hnam oei aên hoêk sinh, sinh vieân lôêm rim tröông, dônoê pôtôêp yua ñôn viê ngoê hnheêi"
"Các trường, cơ sở đào tạo:","Rim tröông, dônoê pôtôêp:"
"Phối hợp với Sở Xây dựng trong công tác xây dựng kế hoạch, chuẩn bị triển khai xây dựng các ký túc xá tại các vị trí đã có mặt bằng nêu tại kế hoạch này.","Adriêng Sô Xaây ‘yöng lôêm tôdrong tôjung pôm glong pônhroh, chuaân ‘bi pônhroh pôm rim kyê tuêk xa lôêm rim dônoê jôh ôêi teh tômaên khan lôêm glong pônhroh anu"
"Chủ trì phối hợp với đơn vị có liên quan tiến hành rà soát, phân loại các đối tượng là học sinh, sinh viên tại các trường Đại học, Cao đẳng","Pôgôl adriêng ñôn viê lieân kuan naêm ngoê hnheêi, phaân loai rim ñoâÊi töông la hoêk sinh, sinh vieân lôêm rim tröông Ñai hoêk, Cao ñaêng"
"Có nhu cầu về nhà ở, chủ động đề xuất thêm các địa điểm mới và tìm kiếm thêm các nguồn vốn khác","ÔÊi tôdrong waê lôêm hnam oei, chu ñoâng pôtho khan pieâu rim dônoê anao oeêng chaê pieâu rim nguoân jeân nai"
"Để đầu tư xây dựng nhà ở cho học sinh sinh viên tại các trường, cơ sở đào tạo do đơn vị quản lý.","Söê tôguêm pôm hnam oei aên hoêk sinh, sinh vieân lôêm rim tröông, dônoê pôtôêp yua ñôn viê ngoê hnheêi"
